Taxon,RedList,DestrCrit,PopRed,PopRedBack,GenLength,UpperDepth,LowerDepth,DepthRange,DepthRange20,GenGlobAbd,ResFragRange,OffReef,SuscBleaching,ResistBleaching,SuscDisease,ResistDisease,Recover,SuscCoTs,Collection1000
PEC_Pectinia_pygmaeus,NT,De,0.2,0.09,10,5,30,25,0,common,0,0,1,0,0,0,0,0,0
PEC_Pectinia_teres,NT,De,0.26,0.11,10,5,30,25,0,uncommon,0,0,1,0,0,0,0,0,0
POC_Pocillopora_ankeli,VU,De+Cr,0.4,0.16,10,1,10,9,1,common,0,0,0,0,0,0,0,0,0
POC_Pocillopora_capitata,LC,De,0.19,0.09,10,1,20,19,1,uncommon,0,0,0,0,0,0,0,1,0
POC_Pocillopora_damicornis,LC,De,0.2,0.09,5,1,20,19,1,common,0,0,0,0,0,0,0,0,1
POC_Pocillopora_danae,VU,De+Cr,0.38,0.15,10,1,15,14,1,uncommon,0,0,1,0,0,0,0,1,0
POC_Pocillopora_effusus,DD,DD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
POC_Pocillopora_elegans,VU,De+Cr,0.35,0.14,5,1,20,19,1,uncommon,0,0,1,0,0,0,0,1,0
POC_Pocillopora_eydouxi,NT,De,0.2,0.09,10,2,20,18,1,common,0,0,1,0,0,0,0,0,1
POC_Pocillopora_fungiformis,EN,De+Cr,0.58,0.12,10,0.5,15,14.5,1,uncommon,1,0,0,0,0,0,0,0,0
POC_Pocillopora_indiania,VU,De+Cr,0.45,0.12,10,2,20,18,1,uncommon,1,0,0,0,0,0,0,0,0
POC_Pocillopora_inflata,VU,De+Cr,0.34,0.11,10,1,10,9,1,rare,0,0,1,0,0,0,0,1,0
POC_Pocillopora_kelleheri,LC,De,0.23,0.1,10,5,40,35,0,uncommon,0,0,0,0,0,0,0,0,0
POC_Pocillopora_ligulata,LC,De,0.06,0.04,10,NA,NA,NA,NA,uncommon,0,0,0,0,0,0,0,0,0
POC_Pocillopora_meandrina,LC,De,0.22,0.1,7,1,27,26,0,common,0,0,0,0,0,0,0,0,0
POC_Pocillopora_molokensis,DD,DD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
POC_Pocillopora_setichelli,LC,De+Cr,0.1,0.05,10,NA,NA,NA,NA,uncommon,1,0,0,0,0,0,0,0,0
POC_Pocillopora_verrucosa,LC,De,0.2,0.09,5,1,54,53,0,common,0,0,0,0,0,0,0,0,1
POC_Pocillopora_woodjonesi,LC,De,0.21,0.09,10,2,26,24,0,uncommon,0,0,0,0,0,0,0,0,0
POC_Pocillopora_zelli,LC,De,0.2,0.09,10,2,15,13,1,uncommon,0,0,0,0,0,0,0,0,0
POC_Seriatopora_aculeata,VU,De+Cr,0.37,0.14,10,3,40,37,0,uncommon,0,0,0,0,0,0,0,0,0
POC_Seriatopora_caliendrum,NT,De,0.21,0.09,5,1,40,39,0,uncommon,0,0,0,0,0,0,0,0,0
POC_Seriatopora_dendritica,VU,De+Cr,0.36,0.14,10,3,40,37,0,uncommon,0,0,0,0,0,0,0,0,0
POC_Seriatopora_guttatus,LC,De,0.2,0.09,10,3,40,37,0,common,0,0,0,0,0,0,0,0,0
POC_Seriatopora_hystrix,LC,De,0.2,0.09,5,1,20,19,1,common,0,0,0,0,0,0,0,0,1
POC_Seriatopora_stellata,NT,De,0.22,0.1,10,1,20,19,1,uncommon,1,0,0,0,0,0,0,0,0
POC_Stylophora_danae,LC,De+Cr,0.14,0.08,10,5,40,35,0,uncommon,1,0,0,0,0,0,0,0,0
POC_Stylophora_kuehlmanni,LC,De+Cr,0.14,0.08,10,5,40,35,0,uncommon,1,0,0,0,0,0,0,0,0
POC_Stylophora_madagascarensis,EN,De+Cr,0.58,0.12,10,2,20,18,1,common,1,0,0,0,0,0,0,0,0
POC_Stylophora_mamillata,LC,De+Cr,0.14,0.08,10,15,25,10,1,uncommon,1,0,0,0,0,0,0,0,0
POC_Stylophora_pistillata,NT,De,0.2,0.09,7,1,15,14,1,common,0,0,0,0,0,0,0,0,1
POC_Stylophora_subseriata,LC,De,0.19,0.08,10,2,30,28,0,common,0,0,0,0,0,0,0,0,0
POC_Stylophora_wellsi,NT,De+Cr,0.22,0.08,10,0,10,10,1,uncommon,1,0,0,0,0,0,0,0,0
POR_Alveopora_allingi,VU,De+Cr,0.35,0.14,10,5,10,5,1,uncommon,0,0,1,0,0,1,0,0,0
POR_Alveopora_catalai,NT,De,0.22,0.1,10,3,30,27,0,common,0,0,1,0,0,1,0,0,0
POR_Alveopora_daedalea,VU,De+Cr,0.38,0.14,10,3,30,27,0,uncommon,0,0,1,0,0,1,0,0,0
POR_Alveopora_excelsa,EN,De+Cr,0.64,0.24,10,3,30,27,0,uncommon,0,0,1,0,0,1,0,0,0
POR_Alveopora_fenestrata,VU,De+Cr,0.36,0.14,10,3,30,27,0,uncommon,0,0,1,0,0,1,0,0,0
